id,title,image,alt,author
1,Quiche mediterráneo profundo,mediterranean-quiche-mariagwyn.jpg,Un delicioso quiche mediterráneo de capas profundas con guarnición de albahaca.,MariaGwyn
2,Bizcochos veganos de chocolate y nueces,vegan-chocolate-nut-brownies.jpg,"Una pila de brownies de chocolate y nuez, rociados con migas de nuez y nuez triturada, recién sacados del horno",MariaGwyn
3,Pasta vegetariana al horno súper fácil,veggie-pasta-bake-mariagwyn.jpg,Plato de pasta con salchichas vegetarianas y cubierto con queso mozzarella y albahaca,MariaGwyn
4,Sopa de berro,watercress-soup-mariagwyn.jpg,Sopa de berros con una ramita de cilantro como guarnición en un tazón blanco con borde verde.,MariaGwyn
5,Pastel Victoria,victoria-sponge-mariagwyn.jpg,"Una esponja Victoria clásica, sin cortar, con un relleno profundo de crema de mantequilla y mermelada",MariaGwyn
6,Pizza sin gluten,pizza-mariagwyn.jpg,"Aceitunas, albahaca y mozzarella cubren una masa de pizza sin gluten con salsa de tomate.",MariaGwyn
7,Curry verde tailandés,thai-green-curry-mariagwyn.jpg,"Un tazón tradicional de curry verde tailandés aromático y cremoso, con trozos de pollo y verduras.",MariaGwyn
8,Crema catalana,crema-catalana-mariagwyn.jpg,"Postre típico catalán hecho de crema y yemas de huevo, cubierto con una capa tradicional de azúcar caramelizado para proporcionar un contraste crujiente.",MariaGwyn
9,Salsa de chile ardiente,chili-sauce-mariagwyn.jpg,"Una variedad iridiscente de chiles, cebollas y ajo, que suda lentamente a fuego lento",MariaGwyn
10,Prueba y cultiva tus propias hierbas,home-grown-herbs.jpg,"Hierbas frescas cortadas incluyendo menta, perejil, tomillo y eneldo.",Holly Foat
11,Delicioso chocolate sin lactosa,vegan-chocolate.jpg,Deliciosa tableta de chocolate con leche sin lactosa partido en onzas.,MariaGwyn
12,El verdadero negocio para comprar en el supermercado,supermarket-savvy-mariagwyn.jpg,Verduras de hoja verde presentadas en la estantería del supermercado.,Megan Collins Quinlan
13,Guía MariaGwyn de nuestras setas preferidas,mushrooms-mariagwyn.jpg,Una deliciosa selección de variedades de setas distribuidas en un sencillo plato de madera.,MariaGwyn
14,Un aplauso para las zanahorias,heritage-carrots.jpg,"Zanahorias moradas, naranjas, amarillas y blancas.",MariaGwyn
15,Percances al hornear - nuestros consejos para solucionar los problemas,chocolate-brownie-mariagwyn.jpg,Un delicioso brownie de chocolate,MariaGwyn
16,Salta los espíritus con deliciosos cócteles sin alcohol,mojito-mocktail.jpg,"Mocktail de mojito fresco con guarnición de hojas de menta, hielo y lima en rodajas",Megan Collins Quinlan
17,Dale a tu avena el cambio de imagen definitivo,oatmeal-fruit-syrup-topping.jpg,"Avena con una mezcla vibrante de bayas, nueces y semillas",MariaGwyn
18,Pasta vegetariana al horno con una rica salsa de tomate cubierta de queso que hará que se te haga la boca agua.,veggie-pasta-bake-hero-mariagwyn.jpg,Pasta vegetariana al horno con una rica salsa de tomate cubierta de queso que hará que se te haga la boca agua.,MariaGwyn
19,Paquete de 3 ediciones de la revista de comida MariaGwyn,mariagwyn-bundle.png,Paquete de 3 ediciones de la revista de comida MariaGwyn,MariaGwyn
20,(Hero) Bizcochos veganos de chocolate y nueces,vegan-brownies-hero-mariagwyn.jpg,"Una pila de brownies de chocolate y nuez, rociados con migas de nuez y nuez triturada, recién sacados del horno",MariaGwyn
